f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,label
21.8265,-17.22,6.84,0,28.57,-1.60806,461.417,431.5,0.0830045,360.422,-1.21866,509.124,543,-0.103147,328.423,0,0,141.19,-0.263965,0,701.827,722,118.858,-0.169725,24.6949,965.462,981,136.544,-0.113798,0,388.481,300,0,0.347192,0.535673,979.904,1000,138.555,-0.145041,0,810.596,830,162.066,-0.119728,12.9992,980.788,0,138.536,-0.138675,0,793.327,806,146.859,-0.0862939,17.0916,976.654,1000,138.33,-0.168771,0,765.288,770,151.612,-0.0310763,13.5076,happy
22.1831,-9.56,7.97,0,29.93,-1.64355,439.896,426.5,0.0339149,394.984,-1.11084,528.668,562,-0.105304,316.531,0,0,135.878,-0.150523,0,970.585,984,135.949,-0.0986778,52.6631,944.868,963,132.523,-0.136822,0,554.736,600,0,-0.227961,0.360866,946.434,954,133.773,-0.0565587,0,888.396,886,137.971,0.0173676,33.8577,981.151,0,137.222,-0.137362,0,936.83,953,132.239,-0.122277,50.9577,940.698,953,132.018,-0.0931835,0,919.906,937,131.732,-0.129766,47.935,happy
20.3587,-6.6,6.01,0,31.14,-1.73473,492.958,550,-0.137485,414.893,-1.29134,501.36,472,0.088844,330.467,0,0,137.368,-0.158013,0,958.059,970,137.194,-0.0870387,50.2178,954.569,971,136.474,-0.120399,0,425.176,334,0,0.467599,1.23099,938.02,954,134.277,-0.119011,0,840.078,854,127.518,-0.109173,39.2323,980.412,0,139.885,-0.140031,0,927.118,939,133.952,-0.0887058,48.3454,949.824,976,136.217,-0.192167,0,926.235,939,133.851,-0.0953649,48.3051,happy
24.2015,-7.2,5.71,0,33.02,-1.66752,540.083,666.5,-0.309386,408.605,-1.24441,510.064,482,0.0828707,338.648,0,0,137.139,-0.153987,0,962.216,984,137.598,-0.158318,50.5149,967.294,990,138.136,-0.164374,0,553.941,500,0,0.239415,-0.596295,938.02,954,134.277,-0.119011,0,937.745,949,135.388,-0.0831304,48.4969,980.412,0,139.885,-0.140031,0,963.647,985,137.866,-0.154881,50.417,958.294,976,136.846,-0.129386,0,961.902,985,137.95,-0.167438,49.9016,happy
23.7115,-16.7,12.41,0,34.84,-1.22155,476.844,483.5,-0.0205082,324.566,-0.964328,530.792,623,-0.299626,307.743,0,0,133.407,-0.142421,0,815.519,803,137.388,0.0911229,24.4677,968.327,990,136.916,-0.158295,0,292.077,334,0,-0.249826,5.07917,980.788,1000,138.536,-0.138675,0,790.038,797,134.722,-0.0516735,23.2229,980.788,0,138.536,-0.138675,0,888.058,906.5,144.46,-0.127664,28.3138,962.788,976,136.37,-0.0968803,0,902.462,923,136.524,-0.150439,38.7898,happy
30.3249,-10.15,6.28,0,37.51,-0.995307,620.792,771,-0.448429,334.965,-1.33924,459.088,368,0.26292,346.447,0,0,125.129,-0.0614752,0,622.731,602,114.39,0.181228,18.9522,956.615,972,135.493,-0.113546,0,381.769,334,0,0.299972,3.48861,951.596,954,136.191,-0.0176505,0,894.712,943,166.741,-0.289601,18.1793,980.788,0,138.536,-0.138675,0,898.115,965,175.784,-0.380493,15.6861,965.558,976,136.864,-0.0762971,0,901.558,963,169.904,-0.36163,18.1906,happy
24.8175,-2.29,2.29,0,31.86,-1.26915,551.506,724,-0.493623,349.445,-1.06894,473.804,437,0.113031,325.609,0,0,137.471,-0.135929,0,904.196,929,134.138,-0.184913,43.1877,950.961,972,136.019,-0.154679,0,80.6667,48,0,0.192946,24.143,947.941,954,136.816,-0.0442844,0,786.804,787,129.376,-0.00151557,28.1007,980.412,0,139.885,-0.140031,0,789.176,792,128.72,-0.0219354,29.1654,940.647,953,134.77,-0.0916593,0,777.667,792,125.533,-0.11418,30.4354,happy
27.9978,-2.29,2.29,0,34.58,-0.68675,679.614,897,-0.614447,353.791,-0.876942,452.908,397,0.176873,316.09,0,0,135.971,-0.0808994,0,895.098,902,132.541,-0.0520743,43.5474,932.588,946,133.882,-0.100176,0,129.706,84,0,0.236013,14.5189,932.961,956,134.914,-0.17077,0,851.941,883,129.581,-0.239686,38.8455,980.412,0,139.885,-0.140031,0,864.51,890,135.517,-0.188095,34.0954,934.863,954,134.368,-0.142424,0,872.078,912,142.565,-0.280024,28.7331,happy
31.0548,-1.72,1.15,0,31.05,-1.31085,538.711,702,-0.471109,346.606,-1.01767,476.604,445,0.0989844,319.283,0,0,137.373,-0.155388,0,945.346,981,137.74,-0.25885,45.5599,972.327,990,137.53,-0.128503,0,980.788,1000,0,-0.138675,52.0005,950.712,954,136.021,-0.0241762,0,928.865,940,133.471,-0.0834232,48.338,980.788,0,138.536,-0.138675,0,936.558,949,133.847,-0.0929593,49.4709,964.635,976,136.788,-0.0830877,0,931.769,942,133.268,-0.0767682,49.3024,happy
26.0182,-4,3.43,0,34.46,-0.879017,644.373,827,-0.527083,346.485,-0.878781,451.44,401.5,0.160792,310.588,0,0,135.055,-0.131855,0,949.558,980,136.99,-0.222222,47.5257,964.404,981,136.568,-0.121523,0,980.788,1000,0,-0.138675,52.0005,973.712,1000,138.549,-0.189742,0,937.346,955,134.068,-0.131678,49.3,980.788,0,138.536,-0.138675,0,919.308,946,134.138,-0.198992,45.2799,976.635,1000,138.331,-0.16891,0,925.962,951.5,134.799,-0.189456,45.7265,happy
